------------------------------------------------------------------------------------
Date: 5/18/2025 -- 17:16:59 (uptime: 0d, 00h 00m 13s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
app_layer.flow.dns_tcp                        | Total                     | 6
app_layer.tx.dns_tcp                          | Total                     | 12
app_layer.flow.quic                           | Total                     | 3
app_layer.tx.quic                             | Total                     | 12
app_layer.flow.snmp                           | Total                     | 6
app_layer.tx.snmp                             | Total                     | 15
app_layer.flow.dns_udp                        | Total                     | 79
app_layer.tx.dns_udp                          | Total                     | 158
app_layer.flow.failed_udp                     | Total                     | 58
flow.end.state.new                            | Total                     | 32
flow.end.state.closed                         | Total                     | 6
flow.end.tcp_state.syn_sent                   | Total                     | 8
flow.end.tcp_state.closed                     | Total                     | 6
flow.mgr.full_hash_pass                       | Total                     | 6
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9523
flow.mgr.rows_maxlen                          | Total                     | 2
flow.mgr.flows_checked                        | Total                     | 437
flow.mgr.flows_notimeout                      | Total                     | 399
flow.mgr.flows_timeout                        | Total                     | 38
flow.mgr.flows_evicted                        | Total                     | 38
flow.mgr.flows_evicted_needs_work             | Total                     | 13
memcap_pressure                               | Total                     | 5
memcap_pressure_max                           | Total                     | 5
flow.recycler.recycled                        | Total                     | 25
flow.recycler.queue_max                       | Total                     | 4
tcp.memuse                                    | Total                     | 3115712
tcp.reassembly_memuse                         | Total                     | 899072
http.memuse                                   | Total                     | 7748
flow.memuse                                   | Total                     | 7234304
------------------------------------------------------------------------------------
Date: 5/18/2025 -- 17:18:11 (uptime: 0d, 00h 01m 25s)
------------------------------------------------------------------------------------
